Customer_Id,Gender,Age,Married,State,Number_of_referrals,Tenure in months,Value deal,Phone service,Multiple_lines,Internet service,Internet type,Online security,Online backup,Device protection plan,Premium support,Streaming TV,Streaming movies,Streaming music,Unlimited data,Contract,Paperless billing,Payment method,Monthly charge,Total charges,Total refunds,Total extra data charges,Total long distance charges,Total revenue,Customer status,Churn category,Churn reason
CUSTJ0001,Male,32,Yes,Texas,1,32,No,No,No phone service,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,54.42,8835.82,156.3,85.54,142.25,8907.31,Joined,,
CUSTJ0002,Female,21,No,Illinois,4,41,No,Yes,No,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer,54.09,2226.96,166.75,99.57,111.62,2271.4,Joined,,
CUSTJ0003,Female,40,No,Texas,1,61,Yes,Yes,No,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card,112.84,1493.88,36.31,72.77,259.71,1790.05,Joined,,
CUSTJ0004,Male,51,Yes,Florida,2,66,No,No,No phone service,No,DSL,Yes,No,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer,115.41,8105.69,141.18,93.58,200.78,8258.87,Joined,,
CUSTJ0005,Male,61,No,Texas,2,10,Yes,Yes,No,No,Cable,Yes,Yes,Yes,No,No,No,No,No,Two year,Yes,Mailed check,95.72,5638.53,104.57,96.87,131.7,5762.53,Joined,,
CUSTJ0006,Male,18,No,Florida,1,72,No,Yes,No,No,Cable,No,No,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,45.1,2203.87,28.42,106.11,85.36,2366.92,Joined,,
CUSTJ0007,Female,41,No,Florida,1,40,No,No,No,No,DSL,No,Yes,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer,79.21,2478.79,168.79,125.76,97.6,2533.36,Joined,,
CUSTJ0008,Male,79,Yes,Florida,3,35,Yes,Yes,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card,45.27,6631.11,140.11,108.17,150.01,6749.18,Joined,,
CUSTJ0009,Male,78,Yes,Illinois,1,14,Yes,Yes,No phone service,No,Cable,No,Yes,No,No,Yes,Yes,No,No,One year,No,Bank transfer,93.35,8759.51,31.89,25.89,127.24,8880.75,Joined,,
CUSTJ0010,Female,35,No,California,0,57,No,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,No,No,Two year,Yes,Credit card,98.42,7271.73,101.02,84.89,192.79,7448.39,Joined,,
CUSTJ0011,Male,49,No,Texas,2,19,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,52.37,673.04,176.48,149.14,132.32,778.02,Joined,,
CUSTJ0012,Male,54,No,Illinois,0,70,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,95.1,3735.88,178.05,86.53,289.21,3933.57,Joined,,
CUSTJ0013,Female,49,No,Illinois,4,10,No,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,62.41,221.28,117.96,111.23,164.65,379.2,Joined,,
CUSTJ0014,Male,42,No,Texas,5,55,Yes,No,No phone service,Yes,Cable,No,Yes,Yes,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,64.42,7995.36,86.7,21.61,138.69,8068.96,Joined,,
CUSTJ0015,Male,44,Yes,Illinois,5,2,No,No,Yes,No,DSL,Yes,No,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer,51.59,5773.9,132.5,30.37,23.35,5695.12,Joined,,
CUSTJ0016,Female,73,Yes,California,3,48,No,Yes,No phone service,Yes,Cable,No,No,No,Yes,No,No,No,No,One year,No,Credit card,118.14,2459.74,80.78,139.64,256.2,2774.8,Joined,,
CUSTJ0017,Male,47,Yes,Texas,1,29,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,One year,Yes,Credit card,66.46,5418.87,138.05,110.79,161.04,5552.65,Joined,,
CUSTJ0018,Female,46,Yes,Illinois,2,64,No,Yes,Yes,No,Cable,No,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,101.14,3714.76,79.5,149.75,98.3,3883.31,Joined,,
CUSTJ0019,Male,78,No,Texas,2,13,No,Yes,No,No,DSL,No,No,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,115.27,4716.19,135.48,98.73,19.4,4698.84,Joined,,
CUSTJ0020,Female,45,Yes,California,0,35,No,No,Yes,Yes,Cable,Yes,No,Yes,No,No,No,No,Yes,One year,No,Mailed check,55.83,8460.2,24.01,30.85,154.11,8621.15,Joined,,
